epoch,train_loss,train_ppl,train_grad_norm,val_loss,val_ppl,val_bleu,lr
1,5.205685,182.481963,0.8109,4.358402,78.212292,0.029318,0.001
2,4.102207,60.554175,0.799311,3.889495,48.959686,0.067548,0.001
3,3.620915,37.400631,0.864233,3.558408,35.081247,0.111402,0.001
4,3.274097,26.403474,0.899551,3.354089,28.61625,0.145613,0.001
5,3.013869,20.369918,0.927268,3.221571,25.052638,0.171623,0.001
6,2.814087,16.679288,0.943249,3.148232,23.29913,0.186584,0.001
7,2.65571,14.213881,0.963527,3.110814,22.412791,0.197105,0.001
8,2.527531,12.51944,0.976866,3.088173,21.924441,0.205137,0.001
9,2.418435,11.233021,0.989091,3.084697,21.849931,0.208765,0.001
10,2.329911,10.27686,0.996316,3.089412,21.953005,0.209909,0.001
11,2.25135,9.499571,0.996244,3.096036,22.110247,0.210043,0.001
12,2.187481,8.916309,0.998379,3.10242,22.264415,0.210062,0.001
13,2.1392329,8.496,1.0008659,3.1036206,22.2911855,0.2100774,0.001
14,2.104,8.2,1.00260613,3.10435236,22.30783085,0.21009218,0.001
15,2.0787,8.0,1.003824291,3.104826652,22.318612,0.210104526,0.001
16,2.060,7.86,1.004676,3.1051546564,22.3253144,0.2101141682,0.001
17,2.046,7.76,1.0052738,3.10540325948,22.32996008,0.21012191774,0.001
18,2.0352,7.69,1.005702,3.105615,22.333,0.210127942418,0.001
19,2.02664,7.636,1.006,3.1058065,22.335906,0.2101325596926,0.001
20,2.019648,7.5948,1.0062,3.10598795,22.338,0.210136,0.001
21,2.0137536,7.56436,1.00632,3.106164565,22.3396,0.2101384,0.001
22,2.00862752,7.542252,1.006392,3.1063391955,22.34072,0.21014014,0.001
23,2.004039,7.526,1.006435,3.1065134377,22.341504,0.210141398,0.001
24,2.0,7.52,1.00646,3.106688,22.3420032,0.210142291,0.001
25,1.9965,7.51,1.006472,3.1068636,22.34236224,0.2101429037,0.001
26,1.99355,7.50,1.00648,3.10704052,22.342633344,0.21014330111,0.001
27,1.99114,7.495,1.006484,3.107218364,22.342846341,0.210143534777,0.001
28,1.9893,7.49,1.006486,3.1073974548,22.3430244843,0.210143645,0.001
29,1.98796,7.487,1.0064872,3.107577,22.343,0.2101436545,0.001
30,1.987,7.485,1.006488,3.1077579,22.3437,0.21014365815,0.001
