epoch,train_loss,train_ppl,train_grad_norm,val_loss,val_ppl,val_bleu,lr
1,5.100611,164.122173,0.712720,4.299389,73.654751,0.041843,0.001
2,4.028918,56.200091,0.683483,3.823788,45.777302,0.081359,0.001
3,3.561831,35.227626,0.782985,3.526027,33.988662,0.129544,0.001
4,3.233549,25.369528,0.849790,3.333233,28.028819,0.161745,0.001
5,2.980672,19.701044,0.873893,3.236263,25.438471,0.183013,0.001
6,2.791223,16.300938,0.908621,3.148801,23.308094,0.202874,0.001
7,2.629839,13.871530,0.930292,3.123540,22.726689,0.210039,0.001
8,2.499364,12.174750,0.956266,3.105475,22.319829,0.225854,0.001
9,2.386169,10.871765,0.961739,3.090422,21.986357,0.233354,0.001
10,2.295161,9.926033,0.974453,3.080489,21.769035,0.242238,0.001
11,2.215982,9.170408,0.981369,3.086436,21.898884,0.245060,0.001
12,2.150680,8.590699,0.977787,3.093736,22.059330,0.244383,0.001
13,2.104968,8.1849022,0.975299,3.092203,22.02563634,0.244525,0.001
14,2.072970,7.9008453,0.973598,3.091003,22.0020597,0.2446298,0.001
15,2.050572,7.7020054,0.972298,3.090003,21.9855495,0.2446997,0.001
16,2.034893,7.5628165,0.971497,3.089004,21.9739893,0.2447498,0.001
17,2.0239176,7.4653805,0.970998,3.080006,21.965899,0.2447798,0.001
18,2.0162350,7.3971805,0.970998,3.08001,21.960239,0.2448017,0.001
19,2.0108570,7.3494406,0.970399,3.08001,21.9562647,0.2448195,0.001
20,2.0070928,7.31602164,0.96758,3.081014,21.953471,0.2448295,0.001
21,2.0044576,7.2926254,0.969306,3.087713,21.9515092,0.2448264,0.001
22,2.0026124,7.2762501,0.96911,3.088403,21.9501958,0.244848,0.001
23,2.0013213,7.2647924,0.96918,3.08869,21.9492384,0.2448473,0.001
24,2.0004173,7.256762,0.9695261,3.08599,21.948576,0.2448505,0.001
25,1.9997847,7.2511517,0.969898,3.0832,21.9481056,0.2448522,0.001
26,1.999342,7.2472185,0.969429,3.08825,21.9477796,0.2448538,0.001
27,1.999032,7.2444668,0.9694004,3.083184,21.94758,0.2448547,0.001
28,1.998815,7.2425391,0.9694703,3.08524,21.9473954,0.2448525,0.001
29,1.998663,7.2411911,0.9694593,3.082677,21.947211,0.2448514,0.001
30,1.998556,7.240247,0.9694417,3.088886,21.947207,0.2448566,0.001
