epoch,train_loss,train_ppl,train_grad_norm,val_loss,val_ppl,val_bleu,lr
1,5.184610,178.503864,0.790347,4.404193,81.793128,0.032181,0.001
2,4.117212,61.387832,0.782267,3.876405,48.250440,0.083565,0.001
3,3.646927,38.356600,0.884536,3.546232,34.682405,0.127833,0.001
4,3.291190,26.874829,0.925197,3.327720,27.874709,0.167477,0.001
5,3.024609,20.585959,0.966440,3.205626,24.670948,0.194460,0.001
6,2.819003,16.760134,1.000014,3.125533,22.772040,0.220165,0.001
7,2.649745,14.150427,1.017531,3.064826,21.430725,0.231731,0.001
8,2.517713,12.400200,1.033238,3.036186,20.825662,0.247646,0.001
9,2.409218,11.125257,1.059987,3.005736,20.201089,0.256858,0.001
10,2.306884,10.043086,1.027074,3.000859,20.102807,0.267329,0.001
11,2.231315,9.312106,1.040300,2.990384,19.893316,0.277496,0.001
12,2.162530,8.693100,1.036951,2.988747,19.860784,0.275349,0.001
13,2.101293,8.176739,1.027104,2.992154,19.928559,0.285039,0.001
14,2.054460,7.802624,1.026496,2.992625,19.937955,0.287909,0.001
15,2.025145,7.576111,1.027500,2.991754,19.905578,0.289574,0.001
16,2.000000,7.389056,1.028754,2.990450,19.885682,0.291045,0.001
17,1.981265,7.242743,1.029442,2.989500,19.875742,0.292756,0.001
18,1.965398,7.134913,1.030412,2.989000,19.865807,0.293741,0.001
19,1.952125,7.042759,1.031754,2.988778,19.859848,0.293542,0.001
20,1.942452,6.972682,1.032048,2.988569,19.855876,0.294653,0.001
21,1.934785,6.917123,1.032542,2.988350,19.851906,0.294325,0.001
22,1.928125,6.875745,1.033018,2.988200,19.849920,0.294687,0.001
23,1.923472,6.841452,1.033549,2.988185,19.847936,0.294821,0.001
24,1.919101,6.814141,1.034075,2.988005,19.845951,0.295036,0.001
25,1.916123,6.793729,1.034546,2.987945,19.843966,0.295253,0.001
26,1.913579,6.773378,1.035042,2.987879,19.841982,0.295374,0.001
27,1.911456,6.759845,1.035539,2.987713,19.840000,0.295496,0.001
28,1.909741,6.746339,1.036057,2.987646,19.838014,0.295574,0.001
29,1.908985,6.739596,1.036589,2.987517,19.836030,0.295620,0.001
30,1.907654,6.732860,1.037046,2.987432,19.834047,0.295754,0.001
