epoch,train_loss,train_ppl,train_grad_norm,val_loss,val_ppl,val_bleu,lr
1,5.414816,225.215374,0.654594,4.412629,82.74417,0.026528,0.001
2,4.227028,68.572663,0.636476,3.930246,50.949753,0.060808,0.001
3,3.752999,42.713544,0.694499,3.620392,37.328564,0.094931,0.001
4,3.417598,30.480605,0.732632,3.421777,30.604381,0.121184,0.001
5,3.172825,23.849544,0.761741,3.302461,27.193535,0.139346,0.001
6,2.982452,19.745094,0.770367,3.221001,25.043031,0.152955,0.001
7,2.831633,16.993475,0.786571,3.168306,23.772346,0.163843,0.001
8,2.710363,15.04447,0.798774,3.129624,22.885923,0.17336,0.001
9,2.609262,13.590806,0.810581,3.136996,23.032993,0.176965,0.001
10,2.528151,12.519017,0.816506,3.145255,23.213343,0.178335,0.001
11,2.455878,11.650164,0.820042,3.155499,23.453647,0.177288,0.001
12,2.397921,10.995971,0.826547,3.165612,23.696491,0.176829,0.001
13,2.354191,10.531823,0.830582,3.1699281,23.79724,0.1769273,0.001
14,2.321883,10.204437,0.833408,3.17403573,23.897141,0.1770309,0.001
15,2.2985081,9.9661824,0.83538,3.17724201,23.973999,0.17705321,0.001
16,2.28166729,9.787358,0.836770,3.1797146,24.028739,0.17709013,0.001
17,2.26947083,9.652991,0.837739,3.1816102,24.064973,0.17711407,0.001
18,2.260529581,9.55185,0.838406,3.1828541,24.0897,0.177129866,0.001
19,2.2544707067,9.47565,0.8388842,3.18367,24.10692,0.177140906,0.001
20,2.24952949469,9.41760,0.83921894,3.184216,24.11884,0.17714863,0.001
21,2.246270646283,9.373325,0.839453258,3.18454,24.12752,0.17715404,0.001
22,2.2432894523986,9.387658,0.839620,3.1847416,24.134001,0.17715,0.001
23,2.241702616679,9.3113608,0.839738,3.184845,24.138920,0.1771604,0.001
24,2.240591831675,9.305050,0.8398214,3.1848856,24.1427276,0.177162,0.001
25,2.239,9.297040,0.839880,3.184878,24.145692,0.177163636,0.001
26,2.2389,9.293928,0.839918,3.1848344,24.1479843,0.177164,0.001
27,2.23763,9.294,0.8399426,3.18476408,24.14978101,0.1771651,0.001
28,2.23751,9.2958,0.83995882,3.18467,24.151207,0.1771656,0.001
29,2.2373,9.2985,0.83996917,3.1845724,24.152356,0.1771659,0.001
30,2.23715,9.3010,0.83997541,3.18446268,24.153304,0.177166,0.001
